sigma_sub LOS_normalization log_m_host log_black_hole_mass source_size_pc gamma gamma_ext a4 summary_statistic 
0.025532 1.001571 13.533062 5.454965 29.785629 2.007847 0.147447 0.000383 0.007891 
0.088375 1.096345 13.695425 5.510486 47.721185 2.075093 0.266584 0.000365 0.041781 
0.03714 1.165084 13.893218 5.789053 48.201568 2.066989 0.257637 0.00758 0.048238 
0.012384 1.174222 13.012888 5.211407 29.227219 2.076986 0.25503 0.00431 0.04682 
0.030223 1.069569 13.39563 5.656778 40.53002 1.93309 0.126064 0.012598 0.040632 
0.094564 1.07941 13.452345 5.534776 55.854654 2.002247 0.213612 -0.006712 0.039761 
0.009535 1.009335 13.626659 5.663153 35.865424 2.127656 0.257982 0.02425 0.020485 
0.019766 0.921109 12.886622 5.517854 27.756215 1.959052 0.120348 -0.002432 0.029146 
0.061397 1.188951 12.996904 5.740531 35.185605 2.193189 0.248784 0.009044 0.026655 
0.027525 0.875733 13.953152 5.534635 46.6764 1.974727 0.144195 0.014634 0.029761 
0.025571 0.898949 12.741186 5.415586 25.756908 2.018545 0.23515 -0.003379 0.037887 
0.06902 1.007841 13.168021 5.742833 51.480055 2.010398 0.122502 -0.012285 0.042292 
0.030414 0.969489 13.013901 5.55309 40.688922 2.121298 0.277579 0.03369 0.01859 
0.020911 1.109052 13.256295 5.450998 48.435647 1.94196 0.309841 -0.014099 0.00748 
0.001086 0.803791 13.596844 5.672998 33.24893 1.939384 0.204569 -0.009931 0.04166 
0.060049 1.146303 13.2868 5.830194 54.30177 2.159754 0.280827 0.016746 0.018479 
0.091905 1.103083 13.489791 5.815236 36.664458 1.998256 0.155156 0.011661 0.037091 
0.021202 1.189038 13.031477 5.851339 30.635344 1.919843 0.16845 0.00281 0.039492 
0.053889 0.882093 13.212264 5.313688 45.655546 2.176105 0.205325 -0.011724 0.03276 
0.024971 0.813428 12.566088 5.736675 31.924964 2.108418 0.250637 -0.009198 0.045744 
0.004181 1.154467 13.006361 5.792808 25.346838 2.182648 0.235362 -0.000483 0.045744 
0.00545 0.878765 13.645754 5.750656 34.431908 2.080255 0.339547 -0.00302 0.037142 
0.048462 0.945511 12.998935 5.777536 51.91494 2.109688 0.212531 0.00201 0.040402 
0.030351 0.912737 13.042218 5.939969 49.785051 2.070957 0.230181 0.003011 0.034454 
0.022003 1.08898 13.580333 5.757906 47.173654 1.902272 0.124052 0.007809 0.035742 
0.036942 1.134391 13.555157 5.488657 57.062833 2.064838 0.263558 -0.021517 0.024869 
0.061345 0.822265 12.786216 5.629533 45.950139 2.100815 0.244538 0.004821 0.037264 
0.017971 1.190828 13.643561 5.316358 29.699505 1.999515 0.205409 0.008677 0.048771 
0.075376 1.026146 13.291478 5.543809 34.273279 2.116858 0.208296 -0.005342 0.036674 
0.053671 0.847601 13.249574 5.436967 59.85591 2.061998 0.206301 -0.003289 0.036413 
0.075948 0.980652 13.271875 4.009493 53.934646 2.018801 0.330502 -0.023846 0.032915 
0.003561 0.820468 13.408315 5.196144 46.549643 2.104365 0.301001 -0.017632 0.010095 
0.09263 1.182913 13.106865 5.878334 37.890688 2.19101 0.196567 -0.00667 0.048009 
0.052986 1.130297 13.57661 5.731672 28.223228 2.147614 0.243734 0.00704 0.033706 
0.06902 1.095915 13.161744 5.499175 27.000777 1.98553 0.168269 -0.017198 0.023676 
0.010942 1.078922 12.594734 5.406611 37.235471 1.941497 0.23923 -0.008939 0.04397 
0.016985 1.114842 13.551681 5.777922 46.584248 1.997566 0.241635 0.007551 0.04875 
0.072185 1.093252 13.507367 5.414863 33.466115 2.122668 0.254342 0.016916 0.045103 
0.068529 0.987601 12.805184 5.946374 43.935012 1.927468 0.13928 0.001689 0.035084 
0.007716 0.824086 13.235111 5.38691 44.027366 1.91186 0.207374 0.00927 0.049314 
0.079388 0.971421 13.424234 5.721864 49.921863 2.119747 0.194553 0.008072 0.006968 
0.04533 0.958071 13.46323 5.793654 36.3098 2.095435 0.192338 0.003191 0.029012 
